Town	Crop	Affected
Chongqing	Grains	1.20%
Hubei	Grains	4.40%
Hunan	Grains	4.70%
Jiangxi	Grains	3.50%
Anhui	Grains	6.40%
Jiangsu	Grains	5.90%
Zhejiang	Grains	1.90%
Chongqing	Rice	2.30%
Hubei	Rice	9.30%
Hunan	Rice	12.60%
Jiangxi	Rice	9.90%
Anhui	Rice	7.90%
Jiangsu	Rice	9.20%
Zhejiang	Rice	2.30%
Chongqing	Wheat	0.10%
Hubei	Wheat	3.10%
Hunan	Wheat	0.10%
Jiangxi	Wheat	0.00%
Anhui	Wheat	12.20%
Jiangsu	Wheat	9.80%
Zhejiang	Wheat	0.30%
Chongqing	Corn	1.00%
Hubei	Corn	1.30%
Hunan	Corn	0.80%
Jiangxi	Corn	0.10%
Anhui	Corn	2.30%
Jiangsu	Corn	1.20%
Zhejiang	Corn	0.10%
Chongqing	Soybeans	1.20%
Hubei	Soybeans	2.10%
Hunan	Soybeans	1.70%
Jiangxi	Soybeans	1.60%
Anhui	Soybeans	6.10%
Jiangsu	Soybeans	3.10%
Zhejiang	Soybeans	1.30%
Chongqing	Vegitables	2.80%
Hubei	Vegitables	5.70%
Hunan	Vegitables	5.50%
Jiangxi	Vegitables	2.20%
Anhui	Vegitables	3.10%
Jiangsu	Vegitables	7.80%
Zhejiang	Vegitables	2.60%
